seed,total_train_units,sel_ratio,sel_sensor_num,method,initial_units_nums_ratio,initial_units_nums,update_period_ratio,update_period,rmse_test,mape_test,mae_test,time(s)
8,100,0.1,1,random,1.0,100,0.0,0,48.3597,0.4397,38.33778608778531,113.328125
8,100,0.1,1,greedy,1.0,100,0.0,0,40.9519,0.2779,30.1630947458148,260.703125
8,100,0.1,1,linear_approx,1.0,100,0.0,0,40.7912,0.2816,30.25563740519073,720.625
8,100,0.2,2,random,1.0,100,0.0,0,44.0663,0.338,33.27982363566117,77.21875
8,100,0.2,2,greedy,1.0,100,0.0,0,41.6323,0.2795,30.48151347645272,267.09375
8,100,0.2,2,linear_approx,1.0,100,0.0,0,39.9007,0.2713,29.32853893205857,740.90625
8,100,0.4,5,random,1.0,100,0.0,0,41.5016,0.3025,31.366970988570877,77.921875
8,100,0.4,5,greedy,1.0,100,0.0,0,40.102,0.2741,29.525231146803765,489.5
8,100,0.4,5,linear_approx,1.0,100,0.0,0,39.1096,0.2662,28.975145899689096,2094.296875
8,100,0.8,11,random,1.0,100,0.0,0,39.9785,0.2736,29.467325385157103,81.1875
8,100,0.8,11,greedy,1.0,100,0.0,0,39.7959,0.2685,29.356744886612923,756.71875
8,100,0.8,11,linear_approx,1.0,100,0.0,0,39.6816,0.2677,29.428353774058333,877.8125
8,100,0.1,1,random,0.8,80,0.2,20,45.3056,0.3558,34.585445713730564,99.28125
8,100,0.1,1,greedy,0.8,80,0.2,20,42.719,0.3133,32.87661161530033,236.140625
8,100,0.1,1,linear_approx,0.8,80,0.2,20,40.9629,0.2853,30.966603716121085,958.71875
8,100,0.1,1,random,0.8,80,0.1,10,48.1103,0.3916,36.842164804164405,99.59375
8,100,0.1,1,greedy,0.8,80,0.1,10,44.3545,0.3106,33.484067555197875,241.09375
8,100,0.1,1,linear_approx,0.8,80,0.1,10,40.5475,0.2773,29.79914493096328,967.421875
8,100,0.1,1,random,0.4,40,0.4,40,48.8125,0.3712,37.520864083219095,100.96875
8,100,0.1,1,greedy,0.4,40,0.4,40,43.0599,0.2957,31.78596893461512,243.078125
8,100,0.1,1,linear_approx,0.4,40,0.4,40,38.1983,0.2524,27.756612749564514,971.234375
8,100,0.1,1,random,0.4,40,0.2,20,42.1941,0.3236,32.145649398623014,101.109375
8,100,0.1,1,greedy,0.4,40,0.2,20,42.8453,0.3038,32.11650085631318,250.203125
8,100,0.1,1,linear_approx,0.4,40,0.2,20,40.4101,0.3005,30.31369680136768,966.25
8,100,0.1,1,random,0.4,40,0.1,10,45.0562,0.3382,34.702484794440814,101.5
8,100,0.1,1,greedy,0.4,40,0.1,10,41.3849,0.2984,30.249297923101896,256.796875
8,100,0.1,1,linear_approx,0.4,40,0.1,10,45.2811,0.3572,34.54840511763961,1000.65625
8,100,0.1,1,random,0.2,20,0.8,80,46.1637,0.3758,36.18807518970776,99.5
8,100,0.1,1,greedy,0.2,20,0.8,80,42.394,0.2994,31.43699592839868,242.40625
8,100,0.1,1,linear_approx,0.2,20,0.8,80,41.7152,0.3005,30.84768358009726,965.90625
8,100,0.1,1,random,0.2,20,0.4,40,43.0364,0.3732,32.96430153628205,100.0625
8,100,0.1,1,greedy,0.2,20,0.4,40,39.8766,0.269,28.900229326749507,246.8125
8,100,0.1,1,linear_approx,0.2,20,0.4,40,41.25,0.2867,30.473139185998615,973.265625
8,100,0.1,1,random,0.2,20,0.2,20,48.0422,0.3792,36.187865380218994,100.078125
8,100,0.1,1,greedy,0.2,20,0.2,20,41.1235,0.2764,30.132303305763056,255.453125
8,100,0.1,1,linear_approx,0.2,20,0.2,20,43.6414,0.2832,31.26133329639256,982.1875
8,100,0.1,1,random,0.2,20,0.1,10,42.4832,0.3003,31.79238237603016,99.703125
8,100,0.1,1,greedy,0.2,20,0.1,10,39.029,0.2817,28.556363430674622,263.25
8,100,0.1,1,linear_approx,0.2,20,0.1,10,40.3793,0.2815,30.123246303411353,983.84375
8,100,0.1,1,random,0.0,0,0.8,80,44.6745,0.3279,34.338205160281284,99.765625
8,100,0.1,1,greedy,0.0,0,0.8,80,41.1812,0.2654,31.04373802827498,246.8125
8,100,0.1,1,linear_approx,0.0,0,0.8,80,42.9863,0.2795,31.430883971830625,970.0
8,100,0.1,1,random,0.0,0,0.4,40,48.1984,0.3559,35.99469227990083,101.21875
8,100,0.1,1,greedy,0.0,0,0.4,40,40.9291,0.2683,30.33694548705509,251.359375
8,100,0.1,1,linear_approx,0.0,0,0.4,40,42.8255,0.2854,31.73133396348998,989.390625
8,100,0.1,1,random,0.0,0,0.2,20,43.0819,0.3292,32.46638446577468,101.09375
8,100,0.1,1,greedy,0.0,0,0.2,20,43.2259,0.3085,31.85789215995599,257.265625
8,100,0.1,1,linear_approx,0.0,0,0.2,20,40.3374,0.2857,30.043052631158588,982.828125
8,100,0.1,1,random,0.0,0,0.1,10,43.0923,0.3272,32.5959639694071,102.171875
8,100,0.1,1,greedy,0.0,0,0.1,10,42.6281,0.2777,30.722367807274587,262.328125
8,100,0.1,1,linear_approx,0.0,0,0.1,10,42.786,0.2969,32.2174035067888,995.546875
