seed,total_train_units,sel_ratio,sel_sensor_num,method,initial_units_nums_ratio,initial_units_nums,update_period_ratio,update_period,rmse_test,mape_test,mae_test,time(s)
0,260,0.1,2,random,1.0,260,0.0,0,52.0784,0.6662,43.09746403,301.03125
0,260,0.1,2,greedy,1.0,260,0.0,0,34.8173,0.2466,25.76698665,1476.96875
0,260,0.1,2,linear_approx,1.0,260,0.0,0,34.49,0.246,25.62506386,3151.0625
0,260,0.2,4,random,1.0,260,0.0,0,45.098,0.5041,36.8907461,302.09375
0,260,0.2,4,greedy,1.0,260,0.0,0,34.4063,0.2354,25.30085545,2532.296875
0,260,0.2,4,linear_approx,1.0,260,0.0,0,34.4378,0.2355,25.29772402,28433.10938
0,260,0.8,19,random,1.0,260,0.0,0,36.8615,0.2921,28.30927847,304.1875
0,260,0.8,19,greedy,1.0,260,0.0,0,34.4584,0.2372,25.40522581,7474.828125
0,260,0.8,19,linear_approx,1.0,260,0.0,0,34.286,0.2364,25.30561291,71593.35938
0,260,0.1,2,random,0.8,208,0.2,52,47.7666,0.578,39.29453236,300.625
0,260,0.1,2,greedy,0.8,208,0.2,52,34.9451,0.2408,25.91828667,1475.703125
0,260,0.1,2,linear_approx,0.8,208,0.2,52,36.1894,0.2488,26.85068434,3197.46875
0,260,0.1,2,random,0.8,208,0.1,26,47.5304,0.5539,38.56348643,302.734375
0,260,0.1,2,greedy,0.8,208,0.1,26,37.7309,0.2581,27.6002841,1487.875
0,260,0.1,2,linear_approx,0.8,208,0.1,26,35.9393,0.2422,26.5686086,3195.25
0,260,0.1,2,random,0.4,104,0.4,104,49.3589,0.4851,38.96222497279295,301.875
0,260,0.1,2,greedy,0.4,104,0.4,104,35.3973,0.2619,26.97806799285761,1507.890625
0,260,0.1,2,linear_approx,0.4,104,0.4,104,34.2674,0.2464,25.87903338292876,3282.46875
0,260,0.1,2,random,0.4,104,0.2,52,49.2437,0.4714,38.274087150662815,302.609375
0,260,0.1,2,greedy,0.4,104,0.2,52,35.7106,0.2479,26.476315021716843,1510.5625
0,260,0.1,2,linear_approx,0.4,104,0.2,52,35.6098,0.254,26.87890345698062,3303.71875
0,260,0.1,2,random,0.4,104,0.1,26,51.0093,0.482,39.661693201418366,302.28125
0,260,0.1,2,greedy,0.4,104,0.1,26,36.2087,0.2594,26.976550265908724,1516.65625
0,260,0.1,2,linear_approx,0.4,104,0.1,26,36.6188,0.2427,26.838974063376387,3283.109375
0,260,0.1,2,random,0.2,52,0.8,208,52.7862,0.4726,40.76815751853169,301.15625
0,260,0.1,2,greedy,0.2,52,0.8,208,34.76,0.2515,25.84487461199701,1500.53125
0,260,0.1,2,linear_approx,0.2,52,0.8,208,35.4086,0.2532,26.61339293206236,3280.71875
0,260,0.1,2,random,0.2,52,0.4,104,50.1822,0.4706,39.11525621573677,299.3125
0,260,0.1,2,greedy,0.2,52,0.4,104,34.845,0.2333,25.576992034454257,1512.28125
0,260,0.1,2,linear_approx,0.2,52,0.4,104,35.0716,0.2593,26.353325169072125,3337.546875
0,260,0.1,2,random,0.2,52,0.2,52,50.7779,0.4545,39.19386563074263,305.921875
0,260,0.1,2,greedy,0.2,52,0.2,52,36.7354,0.241,27.14139007568821,1522.640625
0,260,0.1,2,linear_approx,0.2,52,0.2,52,34.4376,0.2575,26.002136229635564,3334.890625
0,260,0.1,2,random,0.2,52,0.1,26,52.6192,0.4912,40.9212430976278,305.59375
0,260,0.1,2,greedy,0.2,52,0.1,26,35.7714,0.2614,26.705684374420105,1551.65625
0,260,0.1,2,linear_approx,0.2,52,0.1,26,35.6253,0.2456,26.69872739697258,3345.390625
0,260,0.1,2,random,0.0,0,0.8,208,48.757,0.4614,37.91623709000335,304.96875
0,260,0.1,2,greedy,0.0,0,0.8,208,44.2036,0.2796,32.98900436858265,1508.96875
0,260,0.1,2,linear_approx,0.0,0,0.8,208,46.2625,0.2896,34.66120555949372,3317.921875
0,260,0.1,2,random,0.0,0,0.4,104,48.7754,0.4424,37.83646326494409,304.671875
0,260,0.1,2,greedy,0.0,0,0.4,104,42.8864,0.2716,31.646531982881577,1514.203125
0,260,0.1,2,linear_approx,0.0,0,0.4,104,42.6784,0.2839,31.634242807329223,3330.390625
0,260,0.1,2,random,0.0,0,0.2,52,53.8721,0.484,41.65704838380732,305.6875
0,260,0.1,2,greedy,0.0,0,0.2,52,37.7834,0.2541,27.94674756031707,1516.375
